nombre;generos;desarrollador;Palabrasclaves;LeGusta
Papers Please;Indie,Simulacion,Elecciones;3909;Buena Historia,Tactico,Sentimental;1
Cuphead;Plataformas,Indie,Accion;Studio MDHR;Dificil,Estetico,Retro,Revolucionario;1
Plague Inc Evolved;Estrategia,Simulacion,Indie;Ndemic Creations;Tactico,Evolucion,Apocalipsis;0
Kingdom Rush;Indie,Construccion De Bases,Estrategia;Ironhide Game Studio;Tactico,Chill,Tranquilidad;0
Nioh;Rpg,Accion,Aventura;KOEI TECMO;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar;1
Wu Long Fallen Dynasty;Accion,Aventura,Rpg;KOEI TECMO GAMES CO;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar;1
Wu Long Fallen Dynasty;Accion,Aventura,Rpg;KOEI TECMO GAMES CO;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar;1
Remnant II;Accion,Aventura,Rpg;Gearbox Publishing;SoulsLike,Tiros,Rodar,Armas,Sangriento;1
Deaths Door;Accion,Aventura,Rpg;Devolver Digital;SoulsLike,Rodar;0
Wu Long Fallen Dynasty;Accion,Aventura,Rpg;KOEI TECMO GAMES CO;Dificil,SoulsLike,Superacion,Satisfactorio,Rodar;1
Remnant II;Accion,Aventura,Rpg;Gearbox Publishing;SoulsLike,Tiros,Rodar,Armas,Sangriento;1
Deaths Door;Accion,Aventura,Rpg;Devolver Digital;SoulsLike,Rodar;0
